date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:40	166/166	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Apr%202022%2013:33:40%20GMT	http://burton.html.redbrush.eu/fonts/FuturaBold/FuturaBold.ttf	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/fonts/FuturaBold/FuturaBold.ttf	(from http://burton.html.redbrush.eu/css/fonts.css)
20:33:41	547/547	---M--	200	added ('OK')	image/png	etag:%2258078f2e-223%22	http://burton.html.redbrush.eu/css/default-skin/default-skin.png	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/css/default-skin/default-skin.png	(from http://burton.html.redbrush.eu/css/default-skin/default-skin.css)
20:33:41	1554/1554	---M--	200	added ('OK')	image/svg+xml	etag:%2258078f2e-612%22	http://burton.html.redbrush.eu/css/default-skin/default-skin.svg	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/css/default-skin/default-skin.svg	(from http://burton.html.redbrush.eu/css/default-skin/default-skin.css)
20:33:42	866/866	---M--	200	added ('OK')	image/gif	etag:%2258078f2e-362%22	http://burton.html.redbrush.eu/css/default-skin/preloader.gif	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/css/default-skin/preloader.gif	(from http://burton.html.redbrush.eu/css/default-skin/default-skin.css)
20:33:43	35710/35710	---M--	200	added ('OK')	text/css	etag:%225821d18a-8b7e%22	http://burton.html.redbrush.eu/css/white.css	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/css/white.css	(from http://burton.html.redbrush.eu/white.html)
20:33:44	32333/32333	---MCZ	200	added ('OK')	text/html	etag:W/%22581b4f66-7e4d%22	http://burton.html.redbrush.eu/index.html	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/index-2.html	(from http://burton.html.redbrush.eu/white.html)
20:33:45	2747/2747	---M--	200	added ('OK')	application/javascript	etag:%22596f47dd-abb%22	http://burton.html.redbrush.eu/js/progressbar_tools_white.js	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/js/progressbar_tools_white.js	(from http://burton.html.redbrush.eu/white.html)
20:33:48	80384/80384	---M--	200	added ('OK')	application/font-woff	etag:%2258078f4a-13a00%22	http://burton.html.redbrush.eu/fonts/Simple-Line-Icons.woff?v=2.3.2	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/fonts/Simple-Line-Icons06c8.woff	(from http://burton.html.redbrush.eu/css/simple-line-icons.css)
20:33:48	152796/152796	---M--	200	added ('OK')	application/octet-stream	etag:%2258078f43-254dc%22	http://burton.html.redbrush.eu/fonts/fontawesome-webfont.ttf?v=4.6.3	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/fonts/fontawesome-webfont5b62.ttf	(from http://burton.html.redbrush.eu/css/font-awesome.css)
20:33:49	166/166	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Apr%202022%2013:33:49%20GMT	http://burton.html.redbrush.eu/fonts/FuturaRegular/FuturaRegular.eot	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/fonts/FuturaRegular/FuturaRegular.html	(from http://burton.html.redbrush.eu/css/fonts.css)
